acc_x[g],acc_y[g],acc_z[g]
-0.281,0.042,0.961
-0.283,0.041,0.961
-0.281,0.041,0.962
-0.281,0.042,0.961
-0.282,0.041,0.961
-0.281,0.043,0.963
-0.282,0.043,0.962
-0.283,0.044,0.963
-0.282,0.042,0.961
-0.284,0.044,0.96
-0.281,0.042,0.962
-0.281,0.043,0.961
-0.282,0.044,0.959
-0.281,0.043,0.962
-0.283,0.044,0.963
-0.282,0.043,0.962
-0.282,0.045,0.961
-0.283,0.043,0.962
-0.28,0.042,0.964
-0.28,0.042,0.962
-0.282,0.042,0.962
-0.281,0.044,0.96
-0.282,0.044,0.963
-0.282,0.042,0.962
-0.279,0.041,0.962
-0.281,0.042,0.96
-0.282,0.04,0.962
-0.283,0.041,0.961
-0.282,0.046,0.962
-0.28,0.043,0.963
-0.281,0.043,0.961
-0.284,0.042,0.962
-0.282,0.044,0.962
-0.281,0.043,0.961
-0.283,0.042,0.96
-0.281,0.042,0.962
-0.282,0.043,0.961
-0.281,0.042,0.963
-0.28,0.042,0.962
-0.284,0.044,0.963
-0.28,0.043,0.962
-0.282,0.042,0.96
-0.284,0.043,0.962
-0.282,0.04,0.963
-0.282,0.043,0.96
-0.284,0.044,0.961
-0.281,0.042,0.963
-0.28,0.041,0.965
-0.28,0.045,0.962
-0.282,0.042,0.963
-0.28,0.044,0.961
-0.284,0.044,0.961
-0.281,0.04,0.961
-0.281,0.042,0.962
-0.28,0.043,0.961
-0.281,0.042,0.962
-0.282,0.045,0.962
-0.282,0.041,0.963
-0.283,0.045,0.961
-0.283,0.043,0.962
-0.283,0.042,0.959
-0.281,0.044,0.962
-0.282,0.042,0.963
-0.281,0.045,0.961
-0.282,0.045,0.962
-0.283,0.044,0.964
-0.283,0.042,0.963
-0.281,0.046,0.961
-0.282,0.044,0.961
-0.283,0.043,0.963
-0.282,0.043,0.962
-0.282,0.044,0.962
-0.281,0.043,0.962
-0.282,0.045,0.964
-0.282,0.043,0.961
-0.284,0.042,0.96
-0.281,0.04,0.962
-0.282,0.042,0.96
-0.281,0.043,0.961
-0.281,0.044,0.962
-0.285,0.043,0.964
-0.282,0.045,0.962
-0.28,0.044,0.964
-0.282,0.043,0.96
-0.282,0.043,0.961
-0.281,0.042,0.961
-0.281,0.043,0.964
-0.283,0.042,0.962
-0.281,0.044,0.963
-0.284,0.044,0.96
-0.281,0.043,0.961
-0.28,0.044,0.961
-0.282,0.042,0.961
-0.282,0.041,0.962
-0.282,0.044,0.963
-0.282,0.042,0.963
-0.282,0.042,0.962
-0.281,0.042,0.962
-0.281,0.044,0.964
-0.281,0.046,0.962
-0.281,0.044,0.962
-0.282,0.043,0.963
-0.284,0.044,0.961
-0.283,0.042,0.964
-0.281,0.043,0.962
-0.279,0.043,0.961
-0.283,0.042,0.961
-0.28,0.042,0.961
-0.281,0.04,0.962
-0.282,0.043,0.961
-0.284,0.044,0.961
-0.283,0.046,0.962
-0.283,0.045,0.961
-0.282,0.041,0.961
-0.282,0.042,0.96
-0.283,0.041,0.96
-0.281,0.046,0.962
-0.282,0.043,0.962
-0.282,0.041,0.961
-0.282,0.044,0.965
-0.282,0.042,0.961
-0.282,0.041,0.961
-0.281,0.044,0.963
-0.28,0.043,0.962
-0.283,0.041,0.963
-0.282,0.044,0.961
-0.283,0.042,0.96
-0.281,0.045,0.962
-0.283,0.045,0.96
-0.282,0.042,0.96
-0.283,0.042,0.962
-0.282,0.043,0.964
-0.282,0.044,0.962
-0.282,0.044,0.963
-0.28,0.041,0.962
-0.279,0.042,0.961
-0.283,0.041,0.961
-0.283,0.041,0.961
-0.283,0.044,0.96
-0.281,0.042,0.962
-0.282,0.045,0.962
-0.283,0.044,0.961
-0.283,0.042,0.963
-0.282,0.044,0.962
-0.283,0.041,0.96
-0.283,0.044,0.961
-0.282,0.042,0.962
-0.281,0.041,0.961
-0.282,0.042,0.961
-0.281,0.043,0.961
-0.282,0.041,0.962
-0.283,0.045,0.962
-0.283,0.042,0.963
-0.282,0.041,0.96
-0.283,0.043,0.962
-0.281,0.041,0.963
-0.28,0.041,0.96
-0.284,0.041,0.959
-0.282,0.043,0.959
-0.281,0.043,0.962
-0.282,0.041,0.962
-0.28,0.044,0.962
-0.282,0.044,0.961
-0.283,0.043,0.963
-0.281,0.044,0.963
-0.281,0.042,0.963
-0.28,0.046,0.963
-0.283,0.042,0.962
-0.281,0.044,0.959
-0.283,0.041,0.963
-0.282,0.045,0.964
-0.281,0.04,0.96
-0.282,0.041,0.961
-0.281,0.043,0.963
-0.282,0.043,0.962
-0.28,0.042,0.961
-0.281,0.042,0.963
-0.282,0.044,0.962
-0.283,0.042,0.96
-0.281,0.043,0.964
-0.282,0.041,0.96
-0.282,0.041,0.963
-0.282,0.042,0.963
-0.281,0.042,0.962
-0.283,0.043,0.962
-0.282,0.044,0.962
-0.282,0.043,0.96
-0.283,0.043,0.961
-0.283,0.041,0.963
-0.282,0.044,0.96
-0.282,0.043,0.962
-0.283,0.045,0.961
-0.282,0.041,0.96
-0.282,0.041,0.961
-0.28,0.042,0.962
-0.281,0.043,0.961
-0.282,0.043,0.961
-0.281,0.043,0.96
-0.284,0.045,0.963
-0.281,0.044,0.96
-0.282,0.043,0.96
-0.282,0.044,0.962
-0.282,0.042,0.963
-0.281,0.041,0.96
-0.279,0.043,0.962
-0.281,0.044,0.963
-0.28,0.042,0.96
-0.282,0.043,0.961
-0.282,0.045,0.965
-0.282,0.042,0.961
-0.282,0.043,0.962
-0.282,0.042,0.961
-0.283,0.041,0.96
-0.283,0.04,0.962
-0.282,0.043,0.962
-0.281,0.041,0.961
-0.28,0.042,0.961
-0.282,0.044,0.961
-0.282,0.043,0.963
-0.281,0.043,0.962
-0.282,0.042,0.963
-0.28,0.041,0.96
-0.281,0.041,0.963
-0.282,0.042,0.961
-0.284,0.042,0.963
-0.286,0.043,0.962
-0.282,0.04,0.962
-0.281,0.046,0.962
-0.282,0.043,0.96
-0.282,0.042,0.962
-0.28,0.043,0.964
-0.281,0.043,0.96
-0.28,0.043,0.963
-0.283,0.043,0.962
-0.282,0.043,0.961
-0.281,0.044,0.962
-0.283,0.042,0.962
-0.283,0.041,0.96
-0.281,0.043,0.963
-0.283,0.043,0.964
-0.282,0.044,0.956
-0.281,0.043,0.962
-0.281,0.041,0.962
-0.281,0.045,0.963
-0.281,0.042,0.962
-0.282,0.041,0.96
-0.281,0.044,0.963
-0.281,0.043,0.962
-0.281,0.044,0.962
-0.284,0.043,0.962
-0.285,0.041,0.962
-0.282,0.043,0.963
-0.28,0.042,0.962
-0.281,0.043,0.96
-0.281,0.043,0.961
-0.281,0.042,0.961
-0.282,0.044,0.962
-0.281,0.043,0.961
-0.279,0.043,0.962
-0.281,0.044,0.962
-0.282,0.042,0.962
-0.281,0.044,0.96
-0.281,0.046,0.961
-0.281,0.043,0.963
-0.279,0.042,0.962
-0.284,0.044,0.96
-0.281,0.041,0.961
-0.282,0.043,0.961
-0.284,0.043,0.962
-0.282,0.044,0.964
-0.282,0.042,0.961
-0.282,0.043,0.962
-0.284,0.043,0.965
-0.282,0.043,0.962
-0.281,0.043,0.96
-0.282,0.045,0.962
-0.281,0.045,0.962
-0.282,0.042,0.964
-0.283,0.045,0.961
-0.283,0.044,0.962
-0.281,0.041,0.961
-0.283,0.043,0.963
-0.28,0.042,0.961
-0.282,0.042,0.959
-0.281,0.042,0.96
-0.279,0.045,0.962
-0.283,0.043,0.96
-0.282,0.042,0.962
-0.282,0.043,0.96
-0.282,0.043,0.963
-0.281,0.043,0.961
-0.283,0.042,0.963
-0.283,0.041,0.962
-0.281,0.043,0.96
-0.283,0.043,0.962
-0.28,0.043,0.963
-0.282,0.044,0.961
-0.282,0.044,0.96
-0.279,0.044,0.961
-0.28,0.043,0.962
-0.282,0.044,0.96
-0.28,0.044,0.963
-0.282,0.043,0.964
-0.28,0.044,0.964
-0.282,0.045,0.962
-0.281,0.041,0.962
-0.282,0.043,0.96
-0.283,0.045,0.961
-0.282,0.044,0.961
-0.281,0.041,0.96
-0.28,0.044,0.962
-0.278,0.042,0.963
-0.279,0.043,0.961
-0.282,0.043,0.963
-0.281,0.042,0.965
-0.282,0.042,0.961
-0.281,0.045,0.961
-0.281,0.045,0.962
-0.281,0.042,0.96
-0.283,0.042,0.962
-0.282,0.043,0.965
-0.283,0.042,0.961
-0.282,0.043,0.963
-0.281,0.042,0.961
-0.279,0.043,0.96
-0.282,0.042,0.962
-0.281,0.043,0.962
-0.282,0.045,0.962
-0.283,0.042,0.961
-0.282,0.042,0.961
-0.281,0.045,0.962
-0.283,0.042,0.964
-0.28,0.041,0.964
-0.281,0.043,0.961
-0.28,0.046,0.96
-0.28,0.043,0.961
-0.282,0.042,0.964
-0.283,0.041,0.961
-0.281,0.043,0.961
-0.282,0.043,0.963
-0.282,0.043,0.96
-0.28,0.041,0.961
-0.281,0.043,0.962
-0.281,0.043,0.962
-0.28,0.042,0.962
-0.281,0.043,0.962
-0.282,0.043,0.962
-0.28,0.044,0.963
-0.282,0.042,0.962
-0.281,0.044,0.963
-0.282,0.043,0.962
-0.282,0.044,0.961
-0.281,0.043,0.963
-0.282,0.042,0.963
-0.282,0.041,0.962
-0.28,0.045,0.962
-0.283,0.042,0.961
-0.281,0.042,0.96
-0.282,0.043,0.962
-0.283,0.043,0.963
-0.28,0.042,0.963
-0.28,0.044,0.96
-0.28,0.042,0.961
-0.283,0.042,0.963
-0.281,0.042,0.959
-0.281,0.045,0.962
-0.282,0.042,0.96
-0.279,0.041,0.962
-0.282,0.042,0.96
-0.282,0.043,0.961
-0.28,0.043,0.962
-0.283,0.041,0.963
-0.281,0.043,0.96
-0.28,0.043,0.963
-0.282,0.041,0.961
-0.282,0.042,0.961
-0.28,0.042,0.961
-0.283,0.044,0.96
-0.282,0.044,0.963
-0.284,0.041,0.963
-0.28,0.044,0.963
-0.283,0.044,0.963
-0.283,0.043,0.962
-0.284,0.043,0.962
-0.282,0.044,0.963
-0.283,0.043,0.963
-0.282,0.046,0.964
-0.282,0.041,0.962
-0.28,0.043,0.962
-0.281,0.042,0.963
-0.281,0.043,0.96
-0.281,0.045,0.961
-0.281,0.042,0.961
-0.282,0.043,0.962
-0.281,0.043,0.962
-0.28,0.043,0.962
-0.282,0.043,0.961
-0.286,0.045,0.96
-0.283,0.044,0.963
-0.283,0.042,0.962
-0.282,0.042,0.964
-0.28,0.043,0.962
-0.281,0.045,0.961
-0.281,0.044,0.961
-0.282,0.04,0.96
-0.281,0.04,0.961
-0.284,0.045,0.964
-0.284,0.043,0.961
-0.281,0.042,0.96
-0.281,0.04,0.962
-0.281,0.043,0.962
-0.28,0.043,0.963
-0.281,0.043,0.962
-0.28,0.044,0.963
-0.282,0.043,0.96
-0.282,0.043,0.963
-0.282,0.043,0.962
-0.281,0.043,0.963
-0.281,0.044,0.962
-0.282,0.043,0.963
-0.282,0.043,0.962
-0.281,0.042,0.962
-0.282,0.042,0.962
-0.281,0.04,0.961
-0.281,0.043,0.962
-0.283,0.046,0.961
-0.282,0.04,0.962
-0.283,0.041,0.962
-0.28,0.043,0.961
-0.284,0.042,0.963
-0.283,0.044,0.963
-0.281,0.041,0.962
-0.284,0.042,0.962
-0.281,0.04,0.964
-0.28,0.041,0.963
-0.281,0.042,0.962
-0.281,0.043,0.96
-0.279,0.042,0.96
-0.28,0.042,0.961
-0.281,0.043,0.961
-0.28,0.044,0.96
-0.281,0.042,0.962
-0.281,0.042,0.962
-0.282,0.042,0.962
-0.283,0.041,0.96
-0.281,0.042,0.96
-0.281,0.045,0.962
-0.282,0.043,0.962
-0.281,0.043,0.961
-0.282,0.041,0.962
-0.281,0.044,0.963
-0.282,0.044,0.96
-0.281,0.041,0.962
-0.281,0.043,0.96
-0.281,0.044,0.964
-0.282,0.044,0.963
-0.279,0.043,0.961
-0.283,0.044,0.962
-0.281,0.043,0.962
-0.281,0.04,0.962
-0.283,0.043,0.96
-0.282,0.044,0.96
-0.281,0.043,0.962
-0.282,0.043,0.963
-0.282,0.043,0.961
-0.282,0.043,0.962
-0.282,0.043,0.96
-0.282,0.043,0.961
-0.283,0.043,0.959
-0.283,0.043,0.961
-0.283,0.042,0.961
-0.282,0.042,0.962
-0.281,0.041,0.961
-0.284,0.043,0.961
-0.281,0.044,0.963
-0.28,0.044,0.964
-0.281,0.04,0.961
-0.281,0.044,0.961
-0.281,0.044,0.96
-0.281,0.044,0.962
-0.282,0.042,0.962
-0.282,0.042,0.961
-0.281,0.043,0.962
-0.281,0.042,0.961
-0.282,0.041,0.962
-0.281,0.042,0.963
-0.283,0.043,0.963
-0.282,0.043,0.959
-0.281,0.041,0.962
-0.283,0.042,0.962
-0.282,0.041,0.963
-0.281,0.042,0.962
-0.282,0.042,0.96
-0.281,0.042,0.963
-0.282,0.043,0.961
-0.281,0.042,0.962
-0.284,0.043,0.962
-0.283,0.043,0.963
-0.281,0.044,0.962
-0.282,0.042,0.963
-0.281,0.043,0.963
-0.282,0.042,0.962
-0.282,0.043,0.963
-0.282,0.044,0.963
-0.28,0.042,0.963
-0.282,0.045,0.962
-0.282,0.041,0.963
-0.281,0.043,0.962
-0.282,0.042,0.961
-0.283,0.043,0.962
-0.281,0.045,0.961
-0.282,0.043,0.963
-0.282,0.043,0.962
-0.282,0.043,0.962
-0.281,0.042,0.963
-0.279,0.042,0.962
-0.282,0.043,0.961
-0.281,0.043,0.96
-0.28,0.044,0.961
-0.281,0.042,0.964
-0.281,0.044,0.961
-0.282,0.044,0.96
-0.281,0.042,0.962
-0.283,0.045,0.962
-0.283,0.044,0.961
-0.281,0.045,0.962
-0.28,0.043,0.961
-0.283,0.042,0.962
-0.281,0.042,0.962
-0.28,0.043,0.962
-0.281,0.044,0.962
-0.282,0.04,0.96
-0.282,0.043,0.961
-0.281,0.043,0.961
-0.281,0.042,0.963
-0.284,0.042,0.963
-0.282,0.042,0.962
-0.283,0.042,0.96
-0.284,0.044,0.965
-0.282,0.043,0.962
-0.281,0.041,0.961
-0.282,0.043,0.961
-0.282,0.043,0.961
-0.281,0.045,0.962
-0.282,0.043,0.961
-0.28,0.044,0.962
-0.283,0.04,0.963
-0.281,0.043,0.963
-0.281,0.042,0.963
-0.282,0.042,0.963
-0.282,0.044,0.962
-0.281,0.045,0.96
-0.282,0.044,0.963
-0.281,0.044,0.961
-0.282,0.044,0.964
-0.28,0.043,0.959
-0.281,0.041,0.963
-0.282,0.041,0.961
-0.282,0.04,0.962
-0.282,0.042,0.96
-0.281,0.043,0.961
-0.283,0.042,0.961
-0.281,0.041,0.962
-0.283,0.043,0.962
-0.282,0.044,0.962
-0.282,0.041,0.963
-0.28,0.043,0.961
-0.282,0.041,0.964
-0.281,0.044,0.96
-0.282,0.043,0.961
-0.283,0.042,0.962
-0.282,0.042,0.958
-0.283,0.042,0.961
-0.282,0.044,0.962
-0.284,0.043,0.962
-0.281,0.041,0.964
-0.282,0.043,0.963
-0.281,0.043,0.961
-0.28,0.042,0.962
-0.282,0.044,0.962
-0.281,0.043,0.963
-0.284,0.041,0.961
-0.282,0.043,0.962
-0.284,0.041,0.963
-0.282,0.04,0.961
-0.281,0.043,0.961
-0.281,0.04,0.962
-0.281,0.043,0.963
-0.281,0.042,0.959
-0.282,0.045,0.962
-0.282,0.043,0.962
-0.282,0.042,0.962
-0.28,0.042,0.961
-0.283,0.041,0.961
-0.283,0.043,0.962
-0.283,0.043,0.963
-0.282,0.041,0.96
-0.282,0.041,0.964
-0.281,0.043,0.961
-0.282,0.043,0.962
-0.282,0.044,0.962
-0.283,0.044,0.962
-0.282,0.043,0.961
-0.282,0.043,0.962
-0.282,0.043,0.961
-0.281,0.042,0.963
-0.283,0.042,0.964
-0.281,0.043,0.962
-0.282,0.044,0.962
-0.282,0.043,0.962
-0.283,0.042,0.963
-0.281,0.043,0.964
-0.284,0.043,0.962
-0.28,0.042,0.963
-0.281,0.042,0.962
-0.283,0.041,0.963
-0.281,0.044,0.962
-0.281,0.042,0.962
-0.283,0.042,0.962
-0.281,0.044,0.961
-0.28,0.04,0.961
-0.28,0.044,0.962
-0.283,0.045,0.963
-0.281,0.046,0.96
-0.279,0.045,0.962
-0.28,0.044,0.964
-0.282,0.044,0.961
-0.283,0.044,0.961
-0.281,0.044,0.961
-0.282,0.043,0.961
-0.284,0.041,0.961
-0.28,0.043,0.96
-0.281,0.04,0.962
-0.283,0.043,0.962
-0.283,0.042,0.961
-0.282,0.04,0.963
-0.282,0.04,0.963
-0.281,0.045,0.961
-0.281,0.043,0.962
-0.28,0.042,0.963
-0.285,0.042,0.959
-0.282,0.043,0.965
-0.281,0.043,0.961
-0.282,0.042,0.962
-0.282,0.043,0.962
-0.281,0.045,0.963
-0.283,0.044,0.96
-0.282,0.042,0.962
-0.28,0.041,0.963
-0.281,0.044,0.962
-0.282,0.044,0.963
-0.283,0.043,0.962
-0.282,0.042,0.96
-0.281,0.042,0.963
-0.283,0.042,0.961
-0.283,0.044,0.963
-0.282,0.042,0.961
-0.282,0.043,0.963
-0.282,0.04,0.963
-0.281,0.043,0.963
-0.282,0.044,0.962
-0.281,0.044,0.962
-0.28,0.04,0.964
-0.279,0.045,0.963
-0.28,0.04,0.964
-0.283,0.04,0.961
-0.283,0.041,0.962
-0.28,0.042,0.961
-0.282,0.042,0.962
-0.282,0.043,0.961
-0.283,0.042,0.961
-0.282,0.042,0.96
-0.282,0.045,0.961
-0.282,0.043,0.961
-0.282,0.042,0.963
-0.283,0.042,0.961
-0.283,0.042,0.96
-0.283,0.043,0.962
-0.281,0.042,0.961
-0.282,0.042,0.961
-0.283,0.041,0.963
-0.282,0.039,0.961
-0.281,0.044,0.96
-0.284,0.041,0.963
-0.281,0.042,0.961
-0.281,0.043,0.96
-0.282,0.047,0.964
-0.282,0.042,0.962
-0.283,0.043,0.96
-0.282,0.044,0.963
-0.28,0.041,0.961
-0.282,0.044,0.961
-0.283,0.045,0.961
-0.28,0.041,0.962
-0.279,0.04,0.962
-0.281,0.043,0.962
-0.283,0.044,0.961
-0.28,0.042,0.961
-0.282,0.04,0.961
-0.282,0.043,0.959
-0.283,0.044,0.963
-0.283,0.042,0.964
-0.282,0.042,0.961
-0.28,0.042,0.962
-0.282,0.043,0.96
-0.281,0.043,0.962
-0.282,0.043,0.963
-0.282,0.044,0.962
-0.282,0.043,0.961
-0.281,0.042,0.96
-0.281,0.042,0.963
-0.282,0.04,0.961
-0.281,0.04,0.962
-0.281,0.041,0.962
-0.281,0.043,0.964
-0.28,0.041,0.961
-0.281,0.04,0.959
-0.282,0.043,0.964
-0.282,0.042,0.964
-0.282,0.042,0.962
-0.282,0.043,0.96
-0.283,0.043,0.961
-0.279,0.044,0.963
-0.282,0.042,0.963
-0.282,0.042,0.961
-0.282,0.042,0.962
-0.281,0.044,0.961
-0.282,0.043,0.963
-0.282,0.044,0.963
-0.282,0.042,0.962
-0.283,0.044,0.962
-0.283,0.042,0.962
-0.281,0.04,0.96
-0.281,0.042,0.961
-0.283,0.043,0.961
-0.282,0.041,0.961
-0.281,0.044,0.96
-0.281,0.046,0.961
-0.28,0.042,0.962
-0.281,0.043,0.963
-0.282,0.042,0.961
-0.282,0.043,0.962
-0.283,0.042,0.962
-0.282,0.042,0.964
-0.281,0.043,0.961
-0.284,0.044,0.96
-0.281,0.042,0.962
-0.284,0.044,0.959
-0.28,0.041,0.962
-0.281,0.043,0.96
-0.281,0.042,0.961
-0.28,0.043,0.96
-0.283,0.045,0.96
-0.283,0.045,0.961
-0.282,0.043,0.963
-0.282,0.043,0.964
-0.284,0.045,0.961
-0.28,0.041,0.961
-0.283,0.041,0.961
-0.281,0.043,0.962
-0.282,0.042,0.96
-0.281,0.041,0.961
-0.279,0.043,0.961
-0.282,0.042,0.962
-0.282,0.043,0.96
-0.281,0.042,0.962
-0.281,0.044,0.962
-0.281,0.042,0.962
-0.283,0.043,0.963
-0.281,0.043,0.961
-0.282,0.043,0.961
-0.28,0.043,0.96
-0.28,0.043,0.959
-0.283,0.043,0.963
-0.284,0.042,0.961
-0.282,0.042,0.962
-0.28,0.042,0.961
-0.283,0.042,0.963
-0.283,0.044,0.961
-0.283,0.043,0.963
-0.282,0.042,0.962
-0.284,0.045,0.96
-0.282,0.045,0.964
-0.281,0.043,0.962
-0.283,0.041,0.962
-0.283,0.044,0.963
-0.282,0.043,0.961
-0.278,0.043,0.961
-0.283,0.043,0.961
-0.284,0.041,0.961
-0.282,0.041,0.959
-0.282,0.042,0.962
-0.283,0.041,0.962
-0.282,0.043,0.961
-0.284,0.043,0.962
-0.284,0.044,0.962
-0.281,0.042,0.961
-0.282,0.044,0.962
-0.282,0.042,0.961
-0.283,0.041,0.961
-0.28,0.042,0.963
-0.281,0.042,0.963
-0.284,0.043,0.962
-0.282,0.042,0.96
-0.281,0.043,0.962
-0.281,0.045,0.962
-0.281,0.042,0.963
-0.282,0.043,0.96
-0.281,0.044,0.962
-0.282,0.041,0.964
-0.283,0.043,0.961
-0.282,0.043,0.963
-0.281,0.042,0.962
-0.281,0.044,0.962
-0.281,0.042,0.962
-0.28,0.041,0.963
-0.283,0.043,0.962
-0.282,0.042,0.961
-0.281,0.041,0.961
-0.282,0.041,0.961
-0.283,0.041,0.963
-0.282,0.042,0.962
-0.281,0.041,0.96
-0.281,0.042,0.961
-0.282,0.044,0.959
-0.28,0.041,0.962
-0.285,0.042,0.963
-0.279,0.045,0.962
-0.282,0.041,0.96
-0.282,0.042,0.963
-0.282,0.041,0.961
-0.282,0.041,0.961
-0.28,0.042,0.96
-0.281,0.041,0.961
-0.281,0.043,0.963
-0.281,0.042,0.963
-0.281,0.043,0.962
-0.281,0.042,0.961
-0.282,0.041,0.964
-0.282,0.044,0.962
-0.282,0.043,0.962
-0.283,0.042,0.962
-0.283,0.045,0.961
-0.283,0.044,0.961
-0.281,0.044,0.961
-0.283,0.044,0.963
-0.282,0.042,0.961
-0.281,0.041,0.962
-0.282,0.041,0.961
-0.28,0.043,0.961
-0.281,0.043,0.965
-0.281,0.045,0.963
-0.283,0.041,0.961
-0.282,0.043,0.96
-0.283,0.043,0.961
-0.282,0.043,0.963
-0.283,0.041,0.961
-0.281,0.043,0.962
-0.281,0.042,0.963
-0.282,0.042,0.96
-0.283,0.043,0.961
-0.282,0.044,0.961
-0.284,0.045,0.962
-0.281,0.041,0.962
-0.282,0.043,0.96
-0.283,0.042,0.96
-0.284,0.043,0.962
-0.283,0.041,0.965
-0.282,0.043,0.961
-0.284,0.042,0.961
-0.284,0.043,0.962
-0.281,0.044,0.964
-0.281,0.043,0.962
-0.283,0.044,0.962
-0.28,0.042,0.963
-0.28,0.043,0.963
-0.279,0.04,0.96
-0.281,0.042,0.963
-0.282,0.046,0.963
-0.282,0.042,0.961
-0.281,0.043,0.961
-0.28,0.045,0.962
-0.283,0.044,0.962
-0.283,0.043,0.962
-0.282,0.044,0.96
-0.281,0.045,0.963
-0.279,0.044,0.964
-0.283,0.046,0.961
-0.283,0.042,0.961
-0.28,0.043,0.961
-0.28,0.041,0.961
-0.281,0.044,0.963
-0.282,0.041,0.963
-0.282,0.043,0.961
-0.282,0.045,0.962
-0.282,0.04,0.961
-0.281,0.043,0.962
-0.282,0.043,0.963
-0.283,0.044,0.963
-0.282,0.044,0.961
-0.283,0.044,0.961
-0.282,0.043,0.963
-0.281,0.044,0.962
-0.281,0.043,0.962
-0.283,0.043,0.961
-0.311,0.045,0.961
-0.281,0.043,0.962
-0.284,0.043,0.96
-0.283,0.042,0.96
-0.28,0.043,0.96
-0.282,0.042,0.962
-0.282,0.044,0.961
-0.284,0.043,0.962
-0.282,0.042,0.961
-0.282,0.045,0.961
-0.281,0.042,0.961
-0.283,0.041,0.963
-0.281,0.043,0.96
-0.282,0.042,0.963
-0.28,0.043,0.96
-0.281,0.042,0.959
-0.283,0.044,0.963
-0.281,0.044,0.962
-0.281,0.042,0.964
-0.28,0.044,0.961
-0.282,0.043,0.96
-0.281,0.044,0.963
-0.281,0.041,0.96
-0.281,0.044,0.961
-0.282,0.042,0.961
-0.283,0.045,0.962
-0.281,0.043,0.962
-0.281,0.043,0.96
-0.281,0.041,0.961
-0.281,0.046,0.961
-0.282,0.042,0.961
-0.281,0.044,0.962
-0.281,0.044,0.96
-0.282,0.043,0.96
-0.282,0.046,0.96
-0.282,0.043,0.962
-0.281,0.043,0.961
-0.281,0.043,0.962
-0.281,0.042,0.961
-0.282,0.04,0.961
-0.281,0.043,0.963
-0.28,0.044,0.962
-0.282,0.042,0.962
-0.281,0.045,0.961
-0.283,0.043,0.962
-0.281,0.041,0.962
-0.281,0.045,0.963
-0.282,0.043,0.962
-0.281,0.042,0.961
-0.282,0.044,0.963
-0.282,0.044,0.962
-0.281,0.044,0.961
-0.283,0.042,0.961
-0.282,0.043,0.961
-0.282,0.043,0.961
-0.281,0.043,0.961
-0.282,0.045,0.96
-0.283,0.045,0.964
-0.279,0.042,0.962
-0.281,0.043,0.961
-0.282,0.046,0.96
-0.282,0.043,0.963
-0.281,0.042,0.962
-0.283,0.041,0.96
-0.283,0.042,0.961
-0.281,0.042,0.962
-0.283,0.044,0.962
-0.281,0.041,0.962
-0.28,0.043,0.959
-0.281,0.043,0.962
-0.282,0.042,0.964
-0.283,0.042,0.963
-0.283,0.042,0.962
-0.283,0.043,0.961
-0.28,0.043,0.962
-0.283,0.042,0.96
-0.284,0.042,0.963
-0.282,0.041,0.965
-0.28,0.043,0.96
-0.279,0.043,0.96
-0.282,0.045,0.962
-0.281,0.044,0.961
-0.281,0.046,0.962
-0.282,0.043,0.962
-0.28,0.042,0.962
-0.281,0.041,0.961
-0.282,0.044,0.962
-0.28,0.044,0.961
-0.28,0.043,0.961
-0.281,0.044,0.963
-0.283,0.041,0.962
-0.281,0.043,0.958
-0.282,0.044,0.961
-0.282,0.042,0.961
-0.28,0.044,0.961
-0.281,0.043,0.959
-0.283,0.042,0.963
-0.28,0.043,0.965
-0.283,0.043,0.961
-0.281,0.044,0.963
-0.282,0.044,0.961
-0.281,0.043,0.964
-0.283,0.043,0.962
-0.311,0.043,0.963
-0.281,0.042,0.964
-0.283,0.042,0.963
-0.281,0.043,0.962
-0.282,0.042,0.962
-0.283,0.042,0.962
-0.281,0.043,0.961
-0.28,0.043,0.963
-0.282,0.042,0.959
-0.283,0.043,0.962
-0.281,0.043,0.961
-0.281,0.043,0.963
-0.279,0.042,0.963
-0.281,0.041,0.964
-0.282,0.043,0.962
-0.282,0.043,0.962
-0.283,0.044,0.961
-0.282,0.042,0.959
-0.283,0.044,0.96
-0.282,0.043,0.961
-0.282,0.044,0.96
-0.281,0.042,0.963
-0.281,0.044,0.961
-0.283,0.044,0.962
-0.28,0.042,0.96
-0.28,0.045,0.963
-0.281,0.044,0.961
-0.283,0.043,0.963
-0.282,0.044,0.962
-0.281,0.043,0.963
-0.284,0.042,0.963
-0.282,0.043,0.96
-0.283,0.044,0.96
-0.282,0.043,0.962
-0.281,0.043,0.964
-0.28,0.043,0.961
-0.283,0.043,0.96
-0.28,0.044,0.963
-0.283,0.043,0.961
-0.283,0.042,0.962
-0.281,0.042,0.959
-0.28,0.042,0.961
-0.281,0.043,0.961
-0.281,0.043,0.962
-0.281,0.042,0.96
-0.282,0.043,0.961
-0.282,0.043,0.963
-0.282,0.043,0.96
-0.284,0.043,0.958
-0.283,0.042,0.959
-0.28,0.041,0.963
-0.282,0.045,0.962
-0.282,0.044,0.962
-0.283,0.042,0.961
-0.281,0.043,0.962
-0.279,0.043,0.962
-0.281,0.043,0.96
-0.282,0.042,0.963
-0.281,0.044,0.961
-0.283,0.043,0.962
-0.28,0.041,0.96
-0.281,0.042,0.96
-0.28,0.044,0.963
-0.281,0.042,0.962
-0.281,0.043,0.963
-0.282,0.043,0.961
-0.283,0.044,0.963
